mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
7.397398074467977,0.09782295776473561,0.07742524147033691,0.001984474012849927,0.05,3,300,0.6,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.6}",0.6764926492649265,0.6820807080708071,0.6753553613621873,0.6779762395659737,0.0029392008237848935,14
8.401760498682657,0.18048069793445015,0.07329456011454265,0.0004510936782622168,0.05,3,300,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.6767176717671767,0.6821932193219322,0.6757679180887372,0.6782262697259487,0.002831727957182424,5
8.999608437220255,0.16116939809759712,0.07311534881591797,0.0008172254638821553,0.05,3,300,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.6761926192619262,0.6812931293129313,0.6747927840078011,0.6774261775275529,0.0027934294057668013,34
3.6760098139444985,0.07239878652208502,0.06233930587768555,0.007731769749892414,0.05,5,100,0.6,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.6}",0.6775052505250525,0.6812556255625563,0.676593031541837,0.6784513025431487,0.0020176234478910134,2
4.341474215189616,0.0873167954923777,0.056808153788248696,0.001944794806521934,0.05,5,100,0.8,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.6766801680168016,0.6814431443144314,0.6752803510482691,0.6778012211265008,0.0026378748095690443,20
4.9162360827128095,0.047969166750279624,0.059627691904703774,0.00418179170301225,0.05,5,100,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.6767551755175517,0.6812556255625563,0.6750178149495556,0.6776762053432211,0.0026285347332364317,26
6.98254919052124,0.0500249005005667,0.10268648465474446,0.0010236269752575539,0.05,5,200,0.6,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.6}",0.6771302130213022,0.6811056105610561,0.6762929902861643,0.6781762712895075,0.0020993660793892934,8
8.517988443374634,0.08263923937645473,0.10609904925028484,0.0018853931530888382,0.05,5,200,0.8,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.676942694269427,0.681893189318932,0.6758054232456963,0.6782137689446851,0.0026428453181084567,6
9.22983161608378,0.20466502497266761,0.1042629877726237,0.0007103087782518218,0.05,5,200,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.6761926192619262,0.681030603060306,0.6758429284026554,0.6776887169082958,0.0023673787493079697,25
10.464819033940634,0.15153354075934447,0.15544994672139487,0.006202025782461479,0.05,5,300,0.6,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.6}",0.6770927092709271,0.6797554755475548,0.6748677943217193,0.6772386597134004,0.0019980545688393658,43
12.378214915593466,0.11998373870670702,0.15808852513631186,0.0055705216053477434,0.05,5,300,0.8,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.6766051605160516,0.6804305430543054,0.6753928665191464,0.6774761900298344,0.0021468683438337884,30
13.80446203549703,0.20796337024269643,0.1563254197438558,0.0027141456577885912,0.05,5,300,1.0,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.675967596759676,0.6807680768076808,0.67565540261786,0.677463692061739,0.002340026382679787,31
5.119892040888469,0.08106461508156255,0.09181515375773112,0.0011629223179895362,0.05,7,100,0.6,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.6}",0.6781428142814282,0.6788178817881788,0.6754303716761054,0.6774636892485709,0.001463947698869971,32
5.944979429244995,0.04178928829416063,0.09055503209431966,0.0008295234487813109,0.05,7,100,0.8,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.6775802580258026,0.6803555355535553,0.6753928665191464,0.6777762200328348,0.0020307341558198923,21
6.653164227803548,0.15399197181958346,0.09203823407491048,0.003481110134568902,0.05,7,100,1.0,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.6763426342634263,0.6799054905490549,0.6758429284026554,0.6773636844050456,0.00180886895455237,35
9.535220384597778,0.12611598661275406,0.17551477750142416,0.0038290090327946042,0.05,7,200,0.6,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.6}",0.6771677167716772,0.6771677167716772,0.6734425983572742,0.6759260106335429,0.0017560376610315125,58
11.609045346577963,0.03667652317500076,0.19605890909830728,0.031297309838033416,0.05,7,200,0.8,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.6763801380138014,0.676942694269427,0.673855155083824,0.6757259957890175,0.0013426717378278428,63
12.751187403996786,0.20680547504495816,0.17621517181396484,0.0026558357497024655,0.05,7,200,1.0,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.6743174317431743,0.6782178217821783,0.6753553613621873,0.6759635382958465,0.0016493776606277533,57
14.474669853846232,0.19758949120217092,0.2630789279937744,0.006711385061634658,0.05,7,300,0.6,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.6}",0.6736798679867987,0.6736423642364237,0.6725424745902562,0.6732882356044928,0.0005275548948305553,85
17.41372545560201,0.23237565352394576,0.2589687506357829,0.005167576722284765,0.05,7,300,0.8,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.6737548754875488,0.6737173717371737,0.6735551138281514,0.6736757870176246,8.669158673628872e-05,83
19.649799664815266,0.2850291543426758,0.2607969443003337,0.007582892840423614,0.05,7,300,1.0,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.6733423342334234,0.6760801080108011,0.673817649926865,0.6744133640570298,0.0011944337033877304,77
2.366434176762899,0.012773497139186477,0.030167420705159504,0.0005917481357911434,0.1,3,100,0.6,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",0.6765301530153015,0.6812556255625563,0.6750178149495556,0.6776011978424711,0.002656805484947541,28
2.7618818283081055,0.07940946753373247,0.029395659764607746,0.001346186972523284,0.1,3,100,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6764551455145514,0.6823432343234324,0.6747177736938829,0.6778387178439557,0.003263190335262093,17
2.9635581970214844,0.06415187946511133,0.029657522837320965,0.0016319044982719111,0.1,3,100,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.6756675667566757,0.6814056405640564,0.6749052994786783,0.6773261689331368,0.0029013593872970127,39
4.700580914815267,0.09298172169384426,0.05015865961710612,0.0011208845990255559,0.1,3,200,0.6,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",0.6767551755175517,0.6817431743174317,0.6753553613621873,0.6779512370657236,0.002741527677294594,15
5.683822234471639,0.03571453109745558,0.053308566411336265,0.0027364934660548184,0.1,3,200,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.6768676867686768,0.6822307230723073,0.6754678768330645,0.6781887622246829,0.002914670088163904,7
6.066671371459961,0.06201240885466008,0.0527945359547933,0.0017888249072063977,0.1,3,200,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.6763801380138014,0.6823057305730573,0.67565540261786,0.6781137570682395,0.002978902677984325,12
7.291235446929932,0.04991281897773522,0.07877286275227864,0.004539987999110174,0.1,3,300,0.6,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.6}",0.6767176717671767,0.6817056705670567,0.6747177736938829,0.6777137053427054,0.002938450594016452,23
8.374590396881104,0.1026831612524751,0.07407657305399577,0.0007998669689606318,0.1,3,300,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.676980198019802,0.6814806480648065,0.6749803097925965,0.677813718625735,0.002718414594780761,19
