mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
7.101827383041382,0.07217612506382023,2.3404810428619385,0.06114333468496086,True,,sqrt,2,10,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.6548529852985299,0.6525277527752775,0.6544649889359787,0.6539485756699287,0.0010170835979446133,177
3.9936933517456055,0.2807191669547447,2.3700711727142334,0.2647041540695515,True,,sqrt,4,2,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.6584533453345335,0.6578532853285328,0.6568653189813599,0.6577239832148086,0.0006547244723564108,151
5.969005823135376,0.09239555679441964,2.3570677439371743,0.14742352990115729,True,,sqrt,4,2,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.6579657965796579,0.6574407440744074,0.657315380864869,0.6575739738396448,0.0002817478521302406,155
6.87824559211731,0.532440204997764,2.968981901804606,0.24350558712233092,True,,sqrt,4,2,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.6579282928292829,0.658078307830783,0.6580279788470915,0.6580115265023858,6.233851085542598e-05,139
3.8616628646850586,0.09538919834067773,2.730441411336263,0.262475904654881,True,,sqrt,4,5,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.6584533453345335,0.6578532853285328,0.6568653189813599,0.6577239832148086,0.0006547244723564108,151
5.889803330103557,0.1201904576358089,2.2464884916941323,0.0901712731285104,True,,sqrt,4,5,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.6579657965796579,0.6574407440744074,0.657315380864869,0.6575739738396448,0.0002817478521302406,155
6.8556334177653,0.16098371576767445,2.4029398759206138,0.2095008137661304,True,,sqrt,4,5,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.6579282928292829,0.658078307830783,0.6580279788470915,0.6580115265023858,6.233851085542598e-05,139
3.6453987757364907,0.18828399685484848,1.9385746320088704,0.06805619794806175,True,,sqrt,4,10,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.6604035403540354,0.6579657965796579,0.6574654014927053,0.6586115794754662,0.0012834696863069808,135
4.882769187291463,0.11294868865814048,2.5108728408813477,0.4336103234586691,True,,sqrt,4,10,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.6593159315931593,0.6592784278427842,0.6578404530622961,0.6588116041660799,0.00068687819522259,131
7.1385758717854815,0.06715803384604185,2.759082078933716,0.10904433385108586,True,,sqrt,4,10,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.6593909390939094,0.6587908790879088,0.6586655665153959,0.6589491282324048,0.000316568516243718,129
4.827549378077189,0.34131174905953615,2.5370546181996665,0.13322409213750563,True,,log2,1,2,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6333633363336334,0.6322007200720072,0.636312492967783,0.6339588497911411,0.0017306350077671523,401
6.674322843551636,0.26907312829975827,2.743431329727173,0.20596216295777947,True,,log2,1,2,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6334758475847585,0.633063306330633,0.6361249671829876,0.6342213736994596,0.001356539392347621,399
8.883285760879517,0.4227254971492338,3.0357962449391684,0.03353698422482146,True,,log2,1,2,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6331758175817582,0.6333633363336334,0.6375876683043918,0.6347089407399279,0.0020370068095745962,397
4.639581123987834,0.09688144773612674,2.468897740046183,0.1330551195991222,True,,log2,1,5,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6411641164116412,0.639026402640264,0.6425758541799498,0.6409221244106184,0.0014591256867415997,339
6.798971970876058,0.21315039789111836,2.4822891553243003,0.04151274119164352,True,,log2,1,5,200,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6427392739273927,0.6393639363936393,0.6435509882608859,0.6418847328606393,0.0018130142784562328,331
8.0897589524587,0.25073530312551895,2.96572208404541,0.07217089044263457,True,,log2,1,5,300,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.6415016501650165,0.6388763876387639,0.6437760192026404,0.6413846856688069,0.0020019753387531905,335
4.116653601328532,0.11805110438019928,2.5349902311960855,0.12390640575646862,True,,log2,1,10,100,"{'bootstrap': True, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.6527527752775277,0.6502775277527753,0.651427071222293,0.651485791417532,0.0010113682557786072,213
